Glacier,Site,Easting,Northing
Lemon Creek,A,537294,6473489
Lemon Creek,B,537879,6472681
Lemon Creek,C,538246,6471303
Lemon Creek,D,537736,6469539
Lemon Creek,E,538767,6469164
Lemon Creek,F,538486,6469094
Lemon Creek,G,537389,6469170
Lemon Creek,H,538240,6470345
Taku,TKG1,542197,6498877
Taku,TKG2,539081,6504548
Taku,TKG3,541907,6502017
Taku,TKG4,544299,6499596
Taku,TKG5,547649,6496236
Taku,TKG6,541604,6503398
Taku,TKG7,535779,6505549
Taku,TKG8,542391,6505800
Taku,TKG9,540151,6512027
Taku,TKG10,538034,6507646
Norris,SWB1,540317,6488531
Taku,SWB2,543636,6492916
Taku,DG1,550533,6497799
Taku,DG2,553729,6502653
Taku,DG3,552695,6509291
Taku,DG4,554497,6512762
Taku,TR1,539544,6498053
Taku,TR2,538518,6494513
Taku,C161,533758,6499329
Taku,C162,530883,6497429
Taku,C163,533740,6493857
Taku,NWB1,527888,6503855
Taku,NWB2,526636,6500406
Taku,NWB3,532192,6504930
Taku,MG1,545628,6508887
Taku,MG2,546507,6519112
Taku,MG3,544707,6519641
Taku,MG4,546559,6514667
Taku,MG5,550105,6516625
Taku,MG6,547882,6522128
Vaughan Lewis,VLG1,543767,6521998
Llewellyn,LLG1,549813,6527327
Llewellyn,LLG2,551817,6533234
Llewellyn,LLG3,545177,6530221
Llewellyn,LLG4,538975,6533889
Tulsequah,TSQG1,548575,6524626
