Year,Date,Elevation
1972,1972/09/16,928
1972,1972/08/11,834
1973,1973/06/11,295
1973,1973/09/11,817
1974,1974/05/21,315
1974,1974/06/26,583
1974,1974/07/14,614
1974,1974/08/01,686
1974,1974/08/18,844
1974,1974/09/06,899
1975,1975/05/25,120
1975,1975/08/14,705
1976,1976/04/30,137
1976,1976/07/11,575
1976,1976/07/30,602
1976,1976/08/16,674
1976,1976/09/22,841
1977,1977/08/18,839
1977,1977/07/07,591
1977,1977/05/13,148
1978,1978/04/21,150
1978,1978/06/22,622
1978,1978/07/10,753
1978,1978/07/29,847
1978,1978/08/16,891
1979,1979/04/24,142
1979,1979/08/20,898
1980,1980/08/05,882
1980,1980/06/20,614
1981,1981/05/10,320
1981,1981/04/23,145
1981,1981/05/28,574
1981,1981/07/22,787
1981,1981/08/08,900
1982,1982/08/20,948
1982,1982/06/01,327
1982,1982/07/26,852
1983,1983/04/24,124
1983,1983/06/04,580
1983,1983/07/06,708
1984,1984/08/17,906
1984,1984/07/23,687
1984,1984/05/13,326
1984,1984/04/27,312
1984,1984/04/11,161
1985,1985/09/13,751
1985,1985/08/19,614
1985,1985/07/19,534
1986,1986/05/10,172
1986,1986/06/27,537
1986,1986/06/04,317
1986,1986/07/22,628
1986,1986/09/15,817
1987,1987/08/10,821
1987,1987/08/01,704
1987,1987/07/25,617
1988,1988/07/02,587
1988,1988/05/15,309
1989,1989/04/25,153
1989,1989/06/28,609
1989,1989/08/06,888
1990,1990/07/24,873
1990,1990/05/05,312
1990,1990/04/28,159
1991,1991/07/04,605
1991,1991/06/02,319
1991,1991/05/08,86
1992,1992/08/30,819
1992,1992/06/27,539
1992,1992/06/11,315
1992,1992/05/19,150
1993,1993/05/13,152
1993,1993/05/29,319
1993,1993/06/14,594
1993,1993/07/16,743
1993,1993/08/10,886
1993,1993/09/11,918
1994,1994/05/16,316
1994,1994/06/10,583
1994,1994/07/12,616
1994,1994/08/01,861
1994,1994/08/13,882
1994,1994/08/29,943
1995,1995/05/03,158
1995,1995/05/19,322
1995,1995/06/29,627
1995,1995/08/07,932
1995,1995/09/17,959
1996,1996/05/05,156
1996,1996/05/30,326
1996,1996/06/22,615
1996,1996/07/17,769
1996,1996/07/24,865
1997,1997/05/08,145
1997,1997/05/24,319
1997,1997/06/25,624
1997,1997/08/05,928
1997,1997/09/13,1089
1998,1998/04/18,146
1998,1998/05/27,325
1998,1998/06/28,623
1998,1998/07/30,917
1999,1999/05/14,145
1999,1999/06/15,320
1999,1999/06/24,431
1999,1999/07/01,604
1999,1999/07/17,653
1999,1999/08/02,830
1999,1999/08/18,933
2000,2000/05/08,154
2000,2000/05/24,314
2000,2000/06/02,317
2000,2000/07/04,592
2000,2000/08/05,640
2000,2000/08/28,784
2001,2001/04/18,146
2001,2001/08/15,767
2001,2001/09/09,882
2002,2002/06/08,322
2002,2002/06/15,583
2002,2002/08/02,822
2002,2002/09/03,916
2003,2003/04/24,152
2003,2003/05/17,324
2003,2003/07/12,912
2004,2004/05/11,263
2004,2004/05/11,313
2004,2004/05/20,318
2004,2004/05/29,323
2004,2004/06/20,608
2004,2004/06/28,631
2004,2004/07/14,771
2004,2004/07/23,888
2004,2004/08/08,933
2004,2004/08/08,1065
2004,2004/08/08,1119
2005,2005/05/07,325
2005,2005/06/07,601
2005,2005/06/16,622
2005,2005/06/24,627
2005,2005/08/10,913
2006,2006/05/26,327
2006,2006/06/10,609
2006,2006/07/05,676
2006,2006/07/28,825
2006,2006/09/14,954
2007,2007/06/14,317
2007,2007/07/07,551
2007,2007/07/07,586
2007,2007/07/07,600
2007,2007/07/15,621
2007,2007/08/16,833
2007,2007/08/16,839
2007,2007/08/16,871
2007,2007/09/02,928
2008,2008/05/23,102
2008,2008/06/07,316
2008,2008/07/02,551
2008,2008/07/02,585
2008,2008/08/19,768
2009,2009/05/18,32
2009,2009/06/10,319
2009,2009/07/05,592
2009,2009/07/12,601
2009,2009/07/29,753
2009,2009/08/05,831
2010,2010/05/29,320
2010,2010/07/08,614
2010,2010/08/16,930
2011,2011/05/07,313
2011,2011/06/01,601
2011,2011/07/11,761
2011,2011/09/12,969
2011,2011/09/12,948
2011,2011/09/12,1001
2011,2011/09/12,1128
2012,2012/06/03,314
2012,2012/07/12,591
2012,2012/08/13,737
2012,2012/08/29,766
2013,2013/05/20,113
2013,2013/06/30,602
2013,2013/07/16,645
2013,2013/08/01,867
2014,2014/06/01,329
2014,2014/06/16,609
2014,2014/07/18,775
2014,2014/08/20,984
2015,2015/05/03,329
2015,2015/05/19,601
2015,2015/05/26,633
2015,2015/07/06,819
2015,2015/08/07,978
2015,2015/08/14,1066
2016,2016/05/01,324
2016,2016/06/13,625
2016,2016/08/01,938
2017,2017/05/16,333
2017,2017/08/05,928
2017,2017/08/12,939
2017,2017/09/20,1102
2018,2018/04/16,325
2018,2018/05/18,612
2018,2018/07/21,980
2019,2019/04/28,313
2019,2019/05/30,632
2019,2019/06/14,736
2019,2019/07/08,988
2019,2019/08/02,1341
2019,2019/08/02,1476
2019,2019/08/02,1211
